koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_impact
2.193695828499577,-0.19095440573981284,-0.26981940410002775,0.5560999279986467,-0.8193909261924849,-0.8796418471901151,-1.1072697784108716,-0.16256997710552118
-0.14020842092337177,0.2553664630940571,-0.879850220033105,-0.7878034646876617,0.21447633157056445,0.19333104455290634,-0.543679153470188,-0.22167874857696593
-0.7956266059508061,-0.41063583008073073,-0.6975548885461217,-0.7703072488343214,0.674287919730505,0.6796748763574106,-0.21283666523841988,-0.012888021524403371
0.3604204746153972,0.6859236822145713,-0.4768473167658413,-0.48437006571322483,-0.2768789010790376,-0.3214357535177497,-0.4027903026942807,0.04951591086281504
-0.9884499337325786,-0.25241059606470195,-1.0540888696997366,-0.9209236886556585,0.868620186376558,0.8847837045293876,-0.7203378612508377,-0.005889449667892888
0.1609268401479535,0.08952395957571313,0.28388122590594533,1.1715155600172142,-0.22600550778488615,-0.2691354169597356,0.04996057484298192,0.15245323858565665
1.4496929900959898,0.12700353778235082,-0.6142006389573001,0.08130238093434428,-0.218618266608333,-0.26187812933064,-1.1579799801590291,-0.07208427514405448
0.6807219577275184,1.1092728865325505,1.3343679869230365,0.564914099030224,-0.6837523992317524,-0.7420002470333408,1.9227684593372059,-0.0715010608226786
1.4815518748587964,1.1157692509349866,-0.15182284235434612,-0.4730409003023876,-1.3646291424492574,-1.3905830860700343,-0.06851447653254775,-0.2231367843804056
-1.185058452520835,-0.030804698264479565,2.0435339642175485,1.4294006967090955,1.1079244722865043,1.135199162760154,1.5603426940848466,0.02035519479402139
1.1848286154475307,1.1988322631932702,-0.21459112174964431,-0.3058476990686445,-0.7407139131188212,-0.7995864035288792,-0.11379575040144549,0.019771980472645518
-1.153027870597967,-0.982125692938039,1.9098182116483604,1.1370351916386314,1.0538064770372269,1.0784581889576283,0.8997092084074702,-0.049630523771083374
-1.2776051291257258,-1.4541661479107415,-0.836841271038391,-0.13479235066282394,2.116125932749904,2.202551089966313,-0.46913973035440587,-0.11174284899761384
-0.17651747165400444,-0.6295153046282309,-0.05675530522445286,-0.5607862573524375,-0.39467916360805433,-0.44565924713660576,-0.19413788078974678,-0.1368210648167764
0.004537948970573397,-0.43512600578829724,-0.2549435416552747,-0.4455048427871847,-0.05340004067737117,-0.08855426967676466,-0.009197735404099424,0.014523051580262656
-0.5091974302358117,-0.5019985974251286,-0.017141945717432047,-0.57800991804043,-0.18944006521827259,-0.23060872636984486,-0.20030676936505354,-0.038841058825629715
-0.5043840211243822,-0.5881188161420251,0.053584237409669846,-0.3985466128777738,0.18409965380519294,0.1624183339065426,0.28544292979722896,-0.16714820952832177
-0.30424912060915144,-0.6349721796547059,-0.659332667330655,-0.5056352393227614,0.30067756873339363,0.28499516379539286,-0.9935835851515914,-0.049047309449707505
1.4405121830710892,0.38771712156808036,-0.0833448608341166,-0.4330207735100416,-1.3049605172606724,-1.3389470639712497,-1.0414934626869097,-0.053421416860026556
-0.43627547337158923,-0.0960050263930572,-1.003764419419156,-0.8367487724548038,0.44399376721478023,0.4363089725479051,-0.644671004521272,-0.15373428013667673
-0.7221720031709001,-0.30857658332178745,-0.9824086100392346,-0.6787487953439829,0.967829706497522,0.9890362442940863,-0.38359675937136867,-0.009097128435460193
-1.2560113797611636,-1.318542288830346,-0.4405793221176742,-0.8027298249234409,0.809112428435355,0.8197955906599361,-0.1656657768535032,-0.2129305337563278
0.28910659180378634,-0.04981863835111669,0.1712707163555153,0.8833795505793984,-0.5951157224892453,-0.6513980324469125,0.44014399491821626,0.13787288055125982
2.3887926441459144,-0.21049225802831079,-0.16410159821391318,-0.4767966900511752,-1.9403175110777504,-1.7710273787869084,-1.150469997437547,-0.13393415392596583
-1.2710462172064525,0.39604141939430026,-1.1590751512782735,-0.3561567842768148,1.161517476729361,1.1915430826737043,-0.8371908812105024,0.07605216248541728
0.4149345260235746,-0.5769273781852418,-0.1498029636990777,-0.4958880592180799,-0.5093345266574594,-0.5637661623959005,-0.4027903026942807,-0.08345695441088401
-0.10151933358288914,0.49273568740971097,-0.10292591045055297,-0.09791197627782573,0.27338442573429,0.25627430551151,0.1844510787461452,0.062055018772396324
0.6643003995285458,1.0152421752593122,2.1559141104885886,2.075600533811768,0.22536647062088885,0.2053078246608158,2.557531185869835,-0.0003489136148220889
1.5374241812096539,0.33143131294522105,0.07227892421988931,-0.539843333043579,-1.8869467133002669,-1.7459070049206638,-0.5745443443168912,-0.08141570428606845
-1.0211521146284923,-0.5631101298508706,-0.9504484367545354,-0.9353967540362704,0.868620186376558,0.8839977152293628,-1.10036060795476,-0.19397606831161196
-0.027293146083342053,-0.4022692930467897,-0.1181616459894884,-0.5155218687873921,-0.2352928101683678,-0.2785035911234434,-0.0476871296892126,-0.21584660536320718
-0.44868416293566366,-0.2746943011235049,1.9496884859757495,1.0190839605718724,0.06794202136381818,0.03866665244854741,1.8604029374740922,-0.05896195291309735
-0.14044166524474605,-0.6868703167431989,-1.0664411572747845,-0.9691138611554174,-0.05669117249728872,-0.09174921643005014,-0.5382327577620989,-0.05983677439516116
-0.33374329225827293,-1.8899314326729768,-0.6253931518126397,-0.691475925092492,0.10230126761102175,0.07569346456786517,-1.2835074932534147,0.033069267000015445
2.144092391802868,2.5120117964724886,0.6940121271981201,6.27604495423978,-0.8996343359923704,-0.9603762017262055,0.3505247643021524,29.171448227284973
-0.6755223224913538,0.5799677391158334,-1.2178288030639068,-1.0167923241813837,0.5333239248664982,0.5311473738799827,-0.9438668854095947,-0.13040570728164178
0.5044053073762907,1.2677622589786792,-0.7365609791394794,-0.8149074724152487,-0.47375622716690313,-0.526268150831638,-0.644671004521272,-0.17006428113520114
-1.0881357421361113,-0.46107807606875817,-0.24870222836255182,2.1725495336105505,0.9207533129381511,0.939298251026864,0.13667648987182546,0.5405823694613002
-0.7527520735804193,-1.1713508249459768,-0.06719858657487948,-0.7230128167228125,-0.35164476458009225,-0.40053177873410567,0.1047789574743325,-0.16977267397451323
-1.2710422534333705,-1.2110643846839897,-0.587690264670267,-0.701829131659185,1.4271397941141588,1.4774980685353474,-0.2709309981857445,-0.212055712274264
1.45704506264415,1.0890692600910057,-0.8630463531354363,-0.8118428837442976,-1.160422073249924,-1.2094959557437241,-1.0230794756740673,-0.21701303400595895
1.1580851055839407,0.36175797244845836,-0.5974488380455589,-0.4419148938683532,-0.7460049516343625,-0.806321633421024,-1.0935295088921442,-0.09424641935633765
-0.786094256843946,-0.9907511912429865,-0.6674461867131528,-0.9209236886556585,0.17429932618123478,0.14995915522207767,-0.7942973047644263,-0.13711267197746432
2.22946939703079,0.3324184975947071,0.26498075930273357,-0.2956311554669354,-2.0797013945290383,-1.8293386286125668,-0.8506757340053788,-0.19315956826168573
1.437359566114032,-0.7297140191606988,1.4455184715254554,0.4802787540294756,-1.7912007422920426,-1.694771372795449,0.3891516059317252,-0.21613821252389512
-1.1074856973005576,-1.4642965235767185,-0.8248230721862851,0.7676714393199517,2.7240487568215155,2.845244005718935,-1.0669517857479418,-0.21701303400595895
-1.0365180446786015,-0.8502711063609169,-0.6738013783693365,-0.7532430827685969,1.0220618385186395,1.0459072263090856,-0.8930347871322027,-0.14381963667328687
-0.6805353498127301,-0.34824602680547206,2.1106908871410814,1.4514865402019819,0.604996783849025,0.6070642204682849,2.1982472590910467,-0.0178453432560983
0.4927425430421479,0.4209711903099504,-0.5265140477565609,-0.5523327744157068,-0.3617757837541741,-0.4099455093249516,0.0896171387367698,-0.024260700791232874
0.4344037326631931,0.31258467372044985,-0.019919176784954196,-0.3835771406539095,-0.4869959807745038,-0.5409691578371022,0.49800757873343693,-0.21759624832733482
0.39871066870598937,2.343524844931575,1.750471723569317,1.7948123366802662,0.21720654507815562,0.19625252725991743,1.664978500282723,-0.14936017272635765
-0.26293206803961383,-0.17131253173091207,-0.5580053750647818,-0.4901050663681122,-0.030568971282268844,-0.06398642633462999,-0.7427310077568168,0.06730394766477918
-0.7046743337238963,-1.0035229966522683,0.0020521571317510196,-0.21375283042074988,0.5701378970584664,0.5692676518049433,0.05302674794842633,0.057097697040701396
0.816943808632123,-0.3306111814129209,2.1295560901301127,1.3665845699503172,-0.9114690379916656,-0.9714769323681364,1.7305838601774575,0.0016923365099934687
-0.5581449446815672,-0.7777276625969092,-1.1313047418742597,-1.0167923241813837,0.24289030859778404,0.22429148429655615,-0.7699498867938558,-0.21701303400595895
0.007057707380107482,0.19562558353702664,0.1466807655704312,-0.10009198948245229,0.09786553867155989,0.07154454652110206,0.37734369472499973,0.04514180345249602
1.8348279115190025,1.4890989495064486,0.5112985266140873,-0.019789010257075516,-1.5506932051847706,-1.5359696582628493,0.3366555341754011,-0.15315106581530083
-0.6927211569282006,-1.2319716783540826,0.016853769919037167,-0.3918534505060185,0.16160076665017475,0.13900434872537304,-0.20030676936505354,0.026478945168468063
-0.15919542967219735,-0.48622552604191593,0.0060089735500706,-0.4155687447223375,-0.3020251729781319,-0.3492904910992443,0.011899668772255782,0.015689480223014404
0.2597149326870717,-0.31518427036088054,-0.4267617454943202,-0.7967205382507511,-0.8503875829183065,-0.9099250173118558,-0.8881789711891058,-0.08695624033913925
-1.1607214862083064,0.1515447019975045,1.8273321807796896,1.5406364015521634,1.197332759129161,1.2306518858143618,1.4408506304669608,0.063513054575836
-0.19815804205193335,-0.5764519364698667,-0.011115394883036079,-0.5502354629036887,-0.24463999241337603,-0.289008180552671,0.36772844893940054,-0.22022071277352623
2.1492349292440642,1.4595267097362306,-0.2627320246728135,-0.5076012822214526,-1.7272311177172728,-1.654423732713905,-0.9491933148849384,-0.06983890000675738
0.5325685159398117,0.0659387007764443,-0.8086422788061007,-0.7703072488343214,-0.3740272054882285,-0.4229750046464323,-0.8026360002060688,-0.18464463916959797
-0.7446823046375257,0.7103765614398561,2.4005619592948984,1.5764795625760306,0.6205688234045601,0.6232750383662597,2.7707228678723066,-0.08199891860744432
2.084140891263638,-0.33293755797124386,-0.0957214883515635,-0.4473068349758397,-1.6759981205656242,-1.6223014532809672,-1.0170640446029964,-0.2002164615503338
-1.2556981710907034,-1.41288996111484,-0.9137873408855914,-0.9464540077328848,1.2186782082663048,1.256165260125598,-0.7277104628026135,-0.1729803527420805
0.9822110849786856,-0.18449375673992768,-0.11052336856418006,-0.5736635916835955,-1.2551626009773098,-1.2934534991671034,-0.5014229474939992,-0.14440285099466274
