koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
0.969824139,0.783,23.1,0.332,0.49,1839.0,2709.67,6.8
1.70336496,1.7045,316.7,0.508,1.67,1484.0,1151.45,19.8
12.4128518,4.298,108.1,0.711,1.5,933.0,179.24,19.4
20.5498184,5.5484,1564.3,0.649,4.04,657.0,44.11,123.1
6.56606941,1.8455,402.4,0.687,1.83,777.0,86.27,25.8
2.745910734,4.02594,286812.0,0.639,61.16,1221.0,524.18,1550.9
308.185801,3.689,708.7,0.023,2.12,230.0,0.66,9.5
5.743469797,3.4412,1240.2,0.001,3.13,982.0,219.95,79.7
0.981399749,0.5051,158.3,0.408,1.21,1820.0,2602.14,16.2
7.298142,3.024,370.5,0.411,1.6,786.0,90.04,13.6
1.891268461,8.24958,641910.0,0.183,399.93,5047.0,153163.32,4211.8
23.1274171,4.901,157.3,0.737,1.44,667.0,46.89,20.9
210.6013843,11.9922,4159.3,0.002,7.7,342.0,3.22,232.4
186.72243,13.35,326.4,0.4736,1.84,329.0,2.77,11.5
43.0759115,90.95,3452.0,1.256,213.46,1032.0,268.5,323.1
24.7577652,6.998,458.7,0.896,2.44,644.0,40.74,37.6
8.82715783,2.019,368.6,0.249,1.67,797.0,95.25,11.1
241.8591,12.77,659.0,0.313,2.81,315.0,2.34,9.7
0.589753355,0.606,216.0,0.318,1.03,1760.0,2262.14,12.4
15.67750191,5.5082,115.5,0.911,1.42,810.0,101.79,39.6
83.5781976,7.2487,630.8,0.544,6.63,655.0,43.62,54.9
2.21568076,1.515,43.6,0.563,0.57,1236.0,550.44,6.9
1.8437362,21.04,341.1,1.189,25.26,1628.0,1655.74,83.4
174.7697122,2.3569,68139.0,1.036,38.79,294.0,1.77,100.4
59.6585348,5.514,1043.8,0.956,3.59,393.0,5.66,21.2
0.696286519,3.194,120.8,0.985,1.34,1969.0,3537.89,19.7
22.44620704,7.5491,1626.8,1.256,58.2,894.0,150.81,138.8
3.222975318,2.9247,232.7,0.33,1.47,1239.0,558.65,31.3
5.47033376,3.1441,112.0,0.074,1.15,1090.0,334.27,32.7
4.320850062,4.26661,75927.4,1.087,59.16,1221.0,524.62,1691.5
4.89721006,1.812,274.4,0.66,1.48,904.0,157.93,16.9
0.56493398,2.4385,2067.0,1.26,30.51,2206.0,5609.14,166.0
1.86390886,4.414,176.1,1.2,77.99,2902.0,16718.87,18.3
27.6666375,6.315,324.0,0.519,2.04,622.0,35.27,24.4
1.090011003,1.5,174.8,0.531,1.04,1402.0,911.28,12.6
9.06557317,1.6208,243.4,0.432,1.46,880.0,141.9,24.9
1.213742728,3.596,31.7,0.627,1.18,2599.0,10804.6,20.3
7.87173698,2.619,34.7,0.001,0.54,862.0,130.96,10.8
6.02930329,1.5821,1912.7,0.258,2.85,678.0,50.04,65.4
11.11620211,4.211,4843.9,0.937,8.96,853.0,125.21,115.3
6.92101452,4.3591,529.7,0.771,1.48,619.0,34.85,39.9
0.536650896,4.702,273.2,1.175,18.45,2163.0,5179.76,117.8
0.874629873,1.782,68.1,0.665,0.72,1597.0,1538.25,19.2
14.37504582,3.208,251.1,0.927,2.05,786.0,90.16,15.7
6.481633073,3.784,298.5,0.833,2.54,1145.0,406.25,125.6
62.060783,28.203,472.9,0.928,2.11,400.0,6.07,19.9
5.007316661,4.2362,6932.3,0.344,6.96,998.0,234.28,431.4
5.59931543,3.8944,84.8,0.914,1.22,1142.0,402.39,41.4
2.11547854,3.665,222.9,0.755,1.66,1521.0,1264.56,21.6
0.643171495,2.31285,41160.0,1.214,54.03,2193.0,5486.36,641.4
28.487107336,3.77887,37662.9,1.175,116.84,963.0,202.98,658.2
1.311842968,1.7876,245.1,0.121,1.43,1562.0,1410.6,44.2
105.895315,2.581,1227.0,0.093,2.69,323.0,2.58,7.0
0.61810542,6.666,12264.0,1.2326,39.52,1994.0,3735.52,118.7
198.680859,8.282,645.4,0.746,2.79,297.0,1.83,16.6
0.870693883,1.2137,438.5,0.832,2.09,1876.0,2923.54,55.6
0.719741,2.628,32.2,0.275,0.57,2074.0,4398.76,6.5
365.25921,13.74,529.0,0.0035,2.39,268.0,1.23,12.8
1.609321941,1.6067,728.5,0.016,1.57,958.0,199.28,35.3
398.71694,21.6,893.9,1.219,21.25,205.0,0.42,13.7
2.949029106,2.0311,358.3,0.044,1.48,1027.0,263.92,29.3
361.43653,9.08,271.9,0.2175,1.56,268.0,1.22,10.8
13.39155154,3.391,48.9,0.539,1.58,1180.0,459.23,24.5
8.428090255,1.881,11355.5,6.787,517.43,817.0,105.54,183.0
1.123258617,4.27355,377575.0,0.513,150.94,3215.0,25226.88,779.2
0.822314545,3.3374,32.7,0.447,0.54,1922.0,3227.02,3.8
6.80257947,4.608,32.7,0.889,0.73,1026.0,262.26,14.7
21.5819776,13.734,47.6,0.036,0.91,746.0,73.01,17.3
81.3153052,5.807,715.5,0.013,2.55,393.0,5.64,20.7
18.384953,5.92,92.9,0.012,1.36,872.0,136.82,6.0
86.4392931,6.534,1175.1,1.28,35.31,442.0,8.99,20.5
7.442652004,2.3078,24446.2,0.137,15.03,967.0,206.78,835.6
589.74851,12.74,462.4,0.3597,2.03,217.0,0.53,11.5
2.069415479,5.71941,16188.3,1.241,55.45,1768.0,2310.53,1148.3
36.473115046,2.91005,161926.0,1.003,53.1,467.0,11.24,1899.1
22.2420032,7.532,63.5,0.897,2.04,954.0,195.54,16.2
2.745121487,2.9845,14608.0,0.861,9.55,893.0,150.25,86.7
1.17033848,11.56,17.3,0.1381,0.98,3272.0,27090.0,13.4
5.945043548,2.7004,800.2,0.763,2.69,857.0,127.64,67.6
3.27344784,1.7292,262.5,0.44,0.81,625.0,36.05,34.0
2.144632238,6.2701,19836.9,1.228,59.19,1736.0,2146.82,334.8
23.4772553,6.735,141.4,0.013,1.34,738.0,70.05,17.6
160.0191598,5.472,1552.8,0.852,4.28,306.0,2.08,49.6
392.49728,10.53,1062.0,0.1658,2.82,232.0,0.68,14.5
7.40742502,3.675,442.0,0.03,2.01,938.0,183.15,23.1
12.4260454,27.7691,582.1,0.967,2.64,706.0,58.88,55.7
2.671942657,1.9119,15942.0,0.982,22.36,1458.0,1069.47,97.5
8.508333104,3.4559,646.5,0.004,2.6,909.0,161.66,93.4
9.673958488,3.2641,952.7,0.194,2.63,736.0,69.42,178.0
14.6672293,3.742,198.1,0.596,1.21,675.0,49.12,30.5
10.50682978,3.7769,13355.5,0.407,9.01,668.0,47.21,343.4
4.79029482,2.7219,142.0,0.46,1.01,938.0,183.02,23.1
0.921030497,2.6077,101.5,0.025,1.62,2362.0,7380.64,27.0
35.5969684,6.691,684.5,0.895,3.72,646.0,41.06,52.5
3.008602107,4.34296,120272.0,0.948,56.15,1343.0,768.47,502.0
3.319523463,3.3465,38832.0,1.162,38.37,1108.0,356.42,249.4
146.355097,5.034,820.0,0.0515,0.82,135.0,0.08,6.0
37.4783492,5.317,1467.9,1.161,10.05,262.0,1.12,18.3
4.280963604,2.875,750.8,0.424,2.3,1012.0,247.87,61.8
10.818248422,18.2848,13695.9,0.813,11.71,830.0,112.55,581.0
30.47639859,17.9728,130569.0,0.92,43.01,542.0,20.39,236.2
0.759768478,2.824,57.4,0.583,0.64,1737.0,2149.06,12.9
1.025857984,0.8069,270.7,0.779,1.57,1520.0,1264.7,36.0
21.3779536,24.872,255244.0,0.0,173.18,1062.0,300.32,101.9
1.360834768,1.4886,1570.5,1.008,7.24,1660.0,1792.47,169.8
5.902245782,2.9003,702.3,0.209,2.43,926.0,173.74,59.3
9.69501146,2.75,515.2,0.293,2.08,833.0,114.06,18.3
0.526615152,1.0582,64.0,0.028,1.46,2959.0,18152.32,40.9
16.227548674,5.08666,192688.0,0.795,46.52,599.0,30.52,1870.0
91.500873,4.842,704.8,0.032,1.82,310.0,2.18,22.6
0.720589427,4.329,70.0,0.64,1.95,3927.0,56448.93,1.7
8.83929462,1.719,316.2,0.924,1.94,778.0,86.5,14.8
32.2964275,4.561,472.2,0.207,1.9,503.0,15.14,17.9
8.58966893,6.962,429.6,0.012,155.18,4900.0,136317.25,47.5
4.318726936,2.67349,59429.0,0.867,29.74,1091.0,334.31,394.4
1.332566763,4.001,384.9,0.474,1.49,1318.0,713.45,18.2
1.795273026,7.3232,125416.0,0.935,55.26,1642.0,1714.88,877.8
11.30123036,4.022,277.1,0.117,1.85,852.0,124.42,18.5
23.899634407,3.81881,20953.1,1.245,44.04,652.0,42.8,547.8
1.901655058,4.6545,87321.0,1.032,89.89,2192.0,5467.3,190.6
20.4998763,6.501,437.8,0.943,2.8,731.0,67.67,21.1
11.03571773,5.62958,144955.0,0.911,70.42,991.0,227.54,959.6
2.578852119,2.3581,334.3,0.625,1.63,1230.0,540.56,36.7
13.8353959,4.961,818.0,0.94,3.78,809.0,101.05,10.3
2.37752442,2.307,32.1,0.256,0.53,1278.0,632.62,15.9
5.663621501,1.2968,1225.0,0.169,2.47,774.0,84.76,39.8
0.79708975,3.301,19.3,0.53,0.54,2262.0,6174.2,9.8
44.8411168,5.902,1051.6,0.864,2.75,390.0,5.45,28.9
0.784513087,1.9206,316.6,0.029,131.4,10634.0,3036857.56,47.7
105.9566815,6.9988,2286.4,0.322,3.79,324.0,2.59,51.8
71.4523167,6.276,216.9,0.017,2.19,561.0,23.44,16.6
6.58729511,8.3582,127965.0,0.723,58.09,1152.0,416.15,304.2
65.238281,5.756,197.2,0.1471,5.18,734.0,68.49,10.3
1.71029474,2.946,158.9,0.825,1.04,1267.0,610.77,14.5
0.821472455,2.433,127.1,0.2579,0.92,1559.0,1395.92,11.3
11.94019101,2.866,631.7,0.348,1.86,625.0,35.99,15.6
3.351573993,2.8758,54546.0,0.011,24.15,1282.0,638.3,192.4
86.4943704,7.471,995.2,0.741,3.07,367.0,4.29,42.6
10.10773789,3.828,294.9,0.151,1.98,879.0,140.75,25.3
307.94735718,15.0,11296.0,0.966,76.66,492.0,13.83,16.5
0.648775795,4.34648,108824.0,0.961,41.58,1714.0,2038.54,6873.9
4.33144839,2.58,216.4,0.291,1.07,939.0,183.62,17.3
18.36974658,2.939,1143.3,0.947,3.58,582.0,27.14,20.1
1.106529843,6.258,319.5,0.974,1.91,1649.0,1746.73,69.2
52.5008645,14.9066,946.7,0.11,12.41,812.0,102.94,116.2
4.931365987,14.7088,255953.0,0.686,139.59,1755.0,2239.55,772.7
