,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
7408,K08034.01,FALSE POSITIVE,9.1447861,5.422,268.8,0.742,1.63,843.0,119.61,14.9
7409,K08036.01,FALSE POSITIVE,0.786483923,7.035,233.3,1.139,21.66,2408.0,7999.91,104.2
7410,K08038.01,FALSE POSITIVE,0.9438885,2.592,35.8,0.649,1.45,3158.0,23572.82,8.3
7411,K08139.01,FALSE POSITIVE,40.244826,4.303,192.9,0.022,115.94,3302.0,28103.18,16.8
7412,K08140.01,FALSE POSITIVE,135.428746,7.394,381.1,0.498,1.83,343.0,3.29,7.9
7413,K08141.01,FALSE POSITIVE,380.03903,18.5,788.8,0.555,2.36,219.0,0.55,13.2
7414,K08142.01,FALSE POSITIVE,380.294204,12.351,730.5,0.519,2.27,229.0,0.65,15.0
7415,K08143.01,FALSE POSITIVE,373.74691,28.37,622.3,0.834,2.65,260.0,1.08,16.2
7416,K08144.01,FALSE POSITIVE,315.81065,23.66,541.6,0.094,1.82,212.0,0.47,11.6
7417,K08145.01,FALSE POSITIVE,16.9341628,3.94,207.8,0.662,1.71,798.0,95.78,7.2
7418,K08247.01,FALSE POSITIVE,527.68601,4.817,602.0,0.011,2.0,203.0,0.4,6.8
7419,K08248.01,FALSE POSITIVE,267.911652,4.124,695.0,0.016,2.38,257.0,1.03,7.7
7420,K08250.01,FALSE POSITIVE,99.299502,3.631,408.5,0.526,5.4,682.0,51.2,6.6
7421,K08251.01,FALSE POSITIVE,371.47786,12.3,264.9,0.128,1.2,203.0,0.4,8.6
7422,K08252.01,FALSE POSITIVE,1.99638423,2.4,29.4,0.223,0.59,1590.0,1505.17,6.2
7423,K07926.01,FALSE POSITIVE,29.3657204,8.7303,74936.0,0.954,51.33,685.0,51.92,808.9
7424,K07927.01,FALSE POSITIVE,1.035329922,3.8022,992.8,1.243,105.66,3654.0,42120.85,178.0
7425,K07929.01,FALSE POSITIVE,3.04463691,6.656,47.0,0.322,0.68,1321.0,721.48,10.4
7426,K08041.01,FALSE POSITIVE,7.508818,6.5,70.1,0.025,1.02,1107.0,354.74,7.4
7427,K08042.01,FALSE POSITIVE,383.937324,2.884,627.7,0.011,7.9,389.0,5.43,10.8
7428,K08044.01,FALSE POSITIVE,0.619618218,1.2517,50.3,0.389,3.34,3818.0,50197.86,4.4
7429,K08045.01,FALSE POSITIVE,4.17363793,2.738,49.7,0.597,2.52,2197.0,5511.8,10.5
7430,K08145.02,FALSE POSITIVE,244.58323,12.822,408.3,0.483,2.33,328.0,2.72,7.1
7431,K08146.01,FALSE POSITIVE,185.83013,10.14,72.6,0.037,1.01,370.0,4.42,8.1
7432,K08147.01,FALSE POSITIVE,363.346158,4.911,896.0,0.29,22.36,537.0,19.65,10.7
7433,K08148.01,FALSE POSITIVE,303.91225,15.37,479.5,0.504,1.97,242.0,0.81,12.4
7434,K08149.01,FALSE POSITIVE,536.52197,4.458,293.9,0.14,3.0,273.0,1.31,9.7
7435,K08150.01,FALSE POSITIVE,350.514,19.53,213.5,0.259,2.22,346.0,3.37,12.0
