,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
0,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,0.146,2.26,793.0,93.59,35.8
1,K00752.02,CONFIRMED,54.4183827,4.507,874.8,0.586,2.83,443.0,9.11,25.8
2,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,1.276,33.46,1395.0,891.96,505.6
3,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,0.701,2.75,1406.0,926.16,40.9
4,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,0.538,3.9,835.0,114.81,66.5
5,K00756.02,CONFIRMED,4.13443512,3.1402,686.0,0.762,2.77,1160.0,427.65,40.2
6,K00756.03,CONFIRMED,2.56658897,2.429,226.5,0.755,1.59,1360.0,807.74,15.0
7,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,1.169,39.21,1342.0,767.22,47.7
8,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,0.052,5.76,600.0,30.75,161.9
9,K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,0.818,13.04,1339.0,761.46,4304.3
10,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,0.224,16.1,2048.0,4148.92,5945.9
11,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,0.631,14.59,1521.0,1264.67,1741.5
12,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,0.051,1.16,1206.0,500.46,50.6
13,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,2.483,150.51,753.0,75.88,622.1
14,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,0.804,7.18,523.0,17.69,214.7
15,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,1.065,49.29,698.0,55.97,2317.0
16,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,0.292,7.94,595.0,29.61,303.4
17,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,0.387,2.47,649.0,41.85,87.2
18,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,0.258,2.85,678.0,50.04,65.4
19,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,0.044,1.58,1066.0,305.34,48.2
20,K00749.01,CONFIRMED,5.349553819,3.0278,831.0,0.092,2.55,919.0,168.99,60.6
21,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,0.226,1.7,1018.0,253.15,28.9
22,K00749.03,CONFIRMED,8.10904807,3.596,217.4,0.025,1.3,800.0,97.03,14.1
23,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,0.9765,41.5,297.0,1.84,994.0
24,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,0.896,2.95,530.0,18.64,34.3
25,K00751.01,CONFIRMED,4.99677968,2.1717,934.7,0.71,2.78,917.0,166.95,28.2
26,K00769.01,CONFIRMED,4.280963604,2.875,750.8,0.424,2.3,1012.0,247.87,61.8
27,K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,0.86,4.53,1452.0,1054.12,181.1
28,K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,0.701,14.14,196.0,0.35,642.7
29,K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,1.248,39.87,505.0,15.43,85.3
30,K00773.01,CONFIRMED,38.3775486,5.588,724.2,0.468,2.82,529.0,18.53,34.7
31,K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,0.045,3.86,439.0,8.76,51.2
32,K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,0.105,2.65,823.0,108.3,47.1
33,K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,0.799,3.1,593.0,29.31,33.2
34,K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,0.021,3.36,506.0,15.55,80.0
35,K00759.02,CONFIRMED,91.7732862,6.473,652.0,0.606,2.12,359.0,3.92,19.1
36,K00760.01,CONFIRMED,4.959319244,2.22739,9802.0,0.831,12.21,1103.0,349.4,696.5
37,K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,1.016,6.54,1222.0,527.81,48.3
38,K00762.01,CONFIRMED,4.49876511,3.7362,460.0,0.312,2.1,1133.0,389.62,29.5
39,K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766.3,0.723,12.42,730.0,67.03,513.4
40,K00115.01,CONFIRMED,5.412203927,2.9472,601.6,0.787,2.94,1093.0,337.68,166.7
41,K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,0.355,5.5,516.0,16.72,141.1
42,K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,0.023,2.52,790.0,91.9,43.4
43,K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,0.597,4.43,1243.0,565.35,128.6
44,K00767.01,CONFIRMED,2.816504904,2.50587,16813.7,0.105,12.21,1219.0,521.13,1406.8
45,K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,0.812,7.34,430.0,8.11,236.1
46,K00786.01,CONFIRMED,3.689920099,2.6557,426.7,0.151,1.89,1147.0,408.99,35.6
47,K00787.01,CONFIRMED,4.431238488,3.15,1010.9,0.405,3.25,1104.0,351.23,71.1
48,K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,0.911,3.95,806.0,99.68,37.9
49,K00788.01,CONFIRMED,26.39432897,3.573,1510.9,0.602,3.07,489.0,13.49,48.2
50,K00116.01,CONFIRMED,13.57078281,3.3539,511.7,0.866,2.64,785.0,89.61,88.4
51,K00115.02,CONFIRMED,7.12594387,3.0014,192.4,0.898,1.79,997.0,233.31,47.1
52,K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.2,0.137,15.03,967.0,206.78,835.6
53,K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,0.001,2.0,433.0,8.35,28.9
54,K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,0.041,2.16,553.0,22.18,38.7
55,K00775.03,CONFIRMED,36.4454001,4.007,1122.3,0.028,1.99,332.0,2.88,21.7
56,K00776.01,CONFIRMED,3.728732147,2.683,5226.5,0.558,6.02,1023.0,258.34,345.2
57,K00778.01,CONFIRMED,2.243380573,1.1196,821.7,0.915,1.99,822.0,107.6,38.9
58,K00779.01,FALSE POSITIVE,10.405998015,6.5036,14488.8,0.324,11.23,833.0,113.94,745.2
59,K00780.01,CONFIRMED,2.337437946,1.9982,971.2,0.28,2.34,1070.0,311.16,82.4
60,K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,0.679,2.65,396.0,5.82,71.0
61,K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,0.39,5.31,1015.0,251.38,221.1
62,K00783.01,CONFIRMED,7.275040844,7.5377,3001.0,0.547,4.86,833.0,113.64,312.1
63,K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,0.031,1.93,393.0,5.66,37.1
64,K00784.02,CONFIRMED,10.06524317,1.369,1053.3,0.628,1.91,488.0,13.43,30.3
65,K00785.01,CONFIRMED,12.3935651,3.8896,916.6,0.883,2.66,677.0,49.68,35.8
66,K00116.02,CONFIRMED,43.84439721,6.802,615.2,0.852,2.87,531.0,18.77,83.7
67,K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,1.213,21.55,1032.0,268.67,39.0
68,K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,1.26,32.43,1547.0,1355.88,103.6
69,K00800.01,CONFIRMED,2.711504086,3.0099,837.5,0.023,3.12,1420.0,960.79,64.5
70,K00800.02,CONFIRMED,7.21203748,4.0491,950.4,0.012,3.32,1025.0,260.58,51.5
71,K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,0.1601,1.88,711.0,60.35,11.2
72,K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,0.022,2.59,751.0,75.44,47.6
73,K00790.02,CONFIRMED,60.4189369,5.039,931.3,0.094,2.36,390.0,5.49,20.1
74,K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,0.55,7.4,753.0,76.15,277.2
75,K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,1.268,46.58,1920.0,3209.29,112.6
76,K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,1.215,28.59,876.0,139.26,38.2
77,K00794.01,CONFIRMED,2.539183147,2.4282,382.1,0.238,2.06,1332.0,743.09,38.9
78,K00795.01,CONFIRMED,6.770300385,2.0844,1304.0,0.838,2.77,812.0,102.87,50.8
79,K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967.4,1.258,27.51,1836.0,2706.26,299.7
80,K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,0.556,1.96,361.0,4.0,35.2
81,K00812.03,CONFIRMED,46.1842039,4.758,1394.7,0.013,1.83,273.0,1.32,26.0
82,K00116.04,CONFIRMED,23.9800854,5.351,104.0,0.95,1.31,649.0,41.94,17.1
83,K00812.04,CONFIRMED,7.82502168,2.186,520.8,0.708,1.2,494.0,14.05,15.9
84,K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,0.524,7.34,1005.0,241.62,370.8
85,K00814.01,CONFIRMED,22.36646466,5.228,986.8,0.4,2.32,536.0,19.45,32.1
86,K00801.01,CONFIRMED,1.625522174,2.38963,7969.0,0.076,9.73,1579.0,1467.41,799.7
87,K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,1.175,17.47,838.0,116.46,14.2
88,K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,0.024,2.57,757.0,77.75,53.9
89,K00805.01,FALSE POSITIVE,10.328035714,7.7915,16917.7,0.281,13.28,843.0,119.31,636.8
90,K00806.01,CONFIRMED,143.2063047,8.9302,10565.7,0.379,8.9,308.0,2.14,138.8
91,K00116.03,CONFIRMED,6.164876,3.262,55.8,0.646,0.79,1021.0,256.35,14.4
92,K00806.02,CONFIRMED,60.32494216,6.6188,20280.4,0.224,12.19,411.0,6.77,347.2
93,K00806.03,CONFIRMED,29.1598615,4.803,488.0,0.3619,1.91,524.0,17.85,11.6
94,K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,1.225,25.69,1470.0,1105.68,38.8
95,K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,0.014,1.7,918.0,168.45,48.5
96,K00809.01,CONFIRMED,1.594745374,1.9604,15044.5,0.514,11.3,1539.0,1329.42,1009.3
97,K00810.01,CONFIRMED,4.783002698,2.335,1008.7,0.003,2.5,886.0,145.48,70.6
98,K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,0.26,3.41,518.0,17.06,78.5
99,K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,0.466,2.03,656.0,43.73,71.6
100,K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,1.255,30.26,1326.0,730.47,64.9
101,K00829.01,CONFIRMED,18.64932728,4.4056,893.6,0.08,3.12,701.0,57.13,46.1
102,K00117.02,CONFIRMED,4.90144976,4.1654,140.7,0.529,1.7,1262.0,598.74,50.6
103,K00829.02,CONFIRMED,9.75192101,4.793,418.0,0.949,2.76,870.0,135.66,28.5
104,K00829.03,CONFIRMED,38.5576546,5.794,993.0,0.911,4.02,550.0,21.71,39.7
105,K00830.01,CONFIRMED,3.525632539,2.59959,22335.0,0.12,11.58,975.0,213.12,1996.7
106,K00816.01,CONFIRMED,7.748094239,3.5957,2472.1,0.517,5.52,964.0,204.39,113.2
107,K00817.01,CONFIRMED,23.96793669,3.827,1182.3,0.416,1.8,329.0,2.77,27.5
108,K00817.02,CONFIRMED,8.29561738,1.3421,824.3,0.888,1.82,469.0,11.39,17.9
109,K00818.01,CONFIRMED,8.11437482,2.2736,1558.0,0.573,2.1,460.0,10.55,56.4
110,K00819.01,FALSE POSITIVE,38.036729482,4.34617,82871.6,0.501,27.5,500.0,14.81,1300.0
111,K00011.01,FALSE POSITIVE,3.747838198,5.0642,616.0,1.121,13.65,1031.0,266.76,138.2
112,K00117.01,CONFIRMED,14.74914825,6.0995,430.2,0.173,2.89,874.0,137.91,107.4
113,K00821.01,CONFIRMED,21.81295996,4.3791,1175.4,0.053,3.38,639.0,39.33,37.8
114,K00822.01,FALSE POSITIVE,7.91936937,3.3148,15148.1,0.733,10.34,814.0,104.0,389.0
115,K00824.01,CONFIRMED,15.37562369,3.3169,15337.0,0.692,11.01,600.0,30.54,166.0
116,K00825.01,CONFIRMED,8.10363271,3.161,887.9,0.047,2.11,687.0,52.82,39.3
117,K00825.02,CONFIRMED,4.71510843,2.506,417.5,0.258,1.46,823.0,108.84,21.3
118,K00826.01,CONFIRMED,6.365839713,2.9721,780.7,0.524,2.44,914.0,165.33,70.8
119,K00827.01,FALSE POSITIVE,5.97581754,3.065,962.4,0.941,3.86,1047.0,284.25,50.3
120,K00839.01,FALSE POSITIVE,2.446737317,4.7211,1177.9,1.241,26.25,1261.0,597.19,110.2
121,K00840.01,CONFIRMED,3.04033046,1.8411,10858.8,0.736,8.99,1021.0,257.29,568.2
122,K00841.01,CONFIRMED,15.33528675,3.897,3081.4,0.773,5.0,610.0,32.67,86.6
123,K00117.04,CONFIRMED,7.95825328,4.377,50.0,0.706,1.06,1074.0,314.15,14.7
124,K00841.02,CONFIRMED,31.33046135,5.176,5073.8,0.798,6.5,481.0,12.61,117.2
125,K00831.01,FALSE POSITIVE,3.9043425,3.831,16228.4,0.709,12.28,1104.0,351.05,323.4
126,K00832.01,FALSE POSITIVE,9.286358079,3.49949,44791.4,0.377,17.61,796.0,95.03,1671.1
127,K00833.01,FALSE POSITIVE,3.951405455,2.1862,2453.9,1.276,31.44,1133.0,388.71,117.2
128,K00834.01,CONFIRMED,23.65369415,8.2183,3341.8,0.008,7.89,731.0,67.65,266.3
129,K00834.02,CONFIRMED,13.23352214,6.7372,504.6,0.014,3.06,888.0,146.67,49.1
130,K00834.03,CONFIRMED,6.15560285,4.9843,285.0,0.235,2.32,1146.0,406.94,35.1
131,K00834.04,CONFIRMED,2.090811305,3.388,115.9,0.746,1.62,1642.0,1718.04,19.9
132,K00117.03,CONFIRMED,3.180027898,3.5797,120.3,0.196,1.53,1458.0,1066.86,50.4
133,K00834.05,CONFIRMED,50.4467417,7.159,370.3,0.379,2.67,568.0,24.64,19.4
134,K00835.01,CONFIRMED,11.76307164,2.9076,1037.3,0.048,2.35,616.0,33.99,48.9
135,K00835.02,CONFIRMED,56.2279271,3.57,862.7,0.7,2.37,366.0,4.22,20.9
136,K00836.01,FALSE POSITIVE,2.384052875,3.0918,1268.1,1.178,17.06,1010.0,244.87,50.5
137,K00837.01,CONFIRMED,7.953547,2.6312,875.4,0.3,2.25,696.0,55.37,38.4
138,K00837.02,CONFIRMED,4.14451656,2.3421,391.8,0.004,1.48,864.0,132.08,22.8
139,K00838.01,FALSE POSITIVE,4.859386384,2.2757,6044.3,1.259,38.33,1114.0,364.23,269.7
140,K00850.01,CONFIRMED,10.526294577,2.5211,9768.0,0.644,8.24,713.0,61.16,482.3
141,K00851.01,CONFIRMED,4.583520948,2.7055,3812.1,0.045,5.39,1038.0,274.98,99.5
142,K00852.01,CONFIRMED,3.76181843,3.5176,510.6,0.926,2.66,1121.0,372.62,35.9
143,K00853.01,CONFIRMED,8.20396958,2.9667,1024.4,0.823,3.01,742.0,71.5,54.4
144,K00853.02,CONFIRMED,14.49645186,4.016,647.5,0.97,3.01,613.0,33.48,25.7
145,K00841.03,CONFIRMED,6.54626149,2.75,655.9,0.644,2.19,810.0,101.78,24.8
146,K00842.01,CONFIRMED,12.71809866,3.0957,1149.4,0.427,2.31,562.0,23.6,52.7
147,K00842.02,CONFIRMED,36.06588163,4.3246,1563.8,0.26,2.64,397.0,5.88,51.7
148,K00843.01,CONFIRMED,4.190425659,2.8589,2877.4,0.458,6.21,1234.0,547.9,240.6
149,K00844.01,CONFIRMED,3.709870784,3.0694,2020.3,0.023,4.35,1151.0,415.1,116.1
150,K00845.01,CONFIRMED,16.3297527,6.271,1187.5,0.791,3.75,727.0,66.08,74.6
151,K00846.01,CONFIRMED,27.807566216,4.21587,25391.1,0.782,13.84,554.0,22.24,748.1
152,K00847.01,CONFIRMED,80.8723469,11.195,3604.6,0.527,7.59,452.0,9.88,160.9
153,K00848.01,FALSE POSITIVE,3.166465862,2.9381,4357.2,1.266,26.82,954.0,196.31,122.1
154,K00118.01,CONFIRMED,24.99324319,5.9409,269.6,0.686,2.29,712.0,60.88,62.0
155,K00849.01,CONFIRMED,10.35533116,3.1775,750.6,0.029,2.47,777.0,86.22,49.2
156,K00867.01,CONFIRMED,16.08518937,3.984,1442.4,0.867,3.68,613.0,33.43,62.6
157,K00869.01,CONFIRMED,7.49018305,2.7297,1123.6,0.02,2.56,753.0,76.06,53.0
158,K00869.02,CONFIRMED,36.2761238,4.7865,1572.6,0.035,3.03,445.0,9.29,45.5
159,K00869.03,CONFIRMED,17.46087931,2.2641,812.4,0.594,2.32,568.0,24.6,22.6
160,K00854.01,CONFIRMED,56.0560754,4.685,1626.0,0.018,1.94,233.0,0.69,27.4
161,K00855.01,CONFIRMED,41.408316686,5.0264,22838.9,0.377,11.38,453.0,9.93,907.8
162,K00857.01,CONFIRMED,5.715425977,2.5242,908.1,0.348,2.47,850.0,123.03,59.4
163,K00119.01,CONFIRMED,49.18394185,11.3364,1646.2,0.035,8.2,669.0,47.4,355.7
164,K00857.02,CONFIRMED,20.0261412,1.611,421.2,0.957,2.28,559.0,23.14,10.7
165,K00859.01,FALSE POSITIVE,10.44331991,2.743,1159.8,0.23,2.66,667.0,46.94,51.7
166,K00861.01,CONFIRMED,2.237489571,1.8119,315.8,0.128,1.41,1160.0,427.17,30.7
167,K00862.01,FALSE POSITIVE,5.851520671,3.11058,33003.6,0.211,14.62,901.0,155.89,1630.4
168,K00863.01,CONFIRMED,3.167893418,2.1814,781.2,0.026,2.62,1221.0,526.23,64.8
169,K00864.01,CONFIRMED,4.311780262,2.7251,1154.0,0.196,3.11,1038.0,274.84,86.1
170,K00864.02,CONFIRMED,20.0504494,4.556,840.9,0.383,2.69,622.0,35.44,37.8
171,K00864.03,CONFIRMED,9.76734503,1.6585,569.1,0.9,2.67,791.0,92.46,21.1
172,K00119.02,CONFIRMED,190.3200468,15.284,1141.7,0.812,7.78,426.0,7.8,139.3
173,K00866.01,FALSE POSITIVE,2.861159894,1.8832,1014.3,0.965,4.37,1355.0,797.1,58.3
174,K00880.01,CONFIRMED,26.44439337,3.9783,1843.5,0.03,3.91,562.0,23.54,88.0
175,K00880.02,CONFIRMED,51.53997972,6.3994,3644.3,0.183,5.51,450.0,9.67,155.5
176,K00880.03,CONFIRMED,5.902245782,2.9003,702.3,0.209,2.43,926.0,173.74,59.3
177,K00880.04,CONFIRMED,2.382951591,1.8876,391.6,0.479,1.86,1253.0,583.01,41.4
178,K00881.01,CONFIRMED,21.02250608,4.1072,1772.5,0.036,3.07,521.0,17.48,62.4
179,K00869.04,CONFIRMED,3.219814777,2.0642,488.2,0.06,1.69,998.0,234.93,30.5
180,K00870.01,CONFIRMED,5.912273234,2.3254,961.4,0.17,1.73,585.0,27.72,62.8
181,K00870.02,CONFIRMED,8.98581901,2.8606,881.3,0.008,1.65,509.0,15.9,51.8
182,K00120.01,FALSE POSITIVE,20.5452375,2.517,218.5,0.95,2.41,742.0,71.57,18.5
183,K00872.01,CONFIRMED,33.60123371,4.4056,7425.9,0.67,8.46,495.0,14.22,247.9
184,K00872.02,CONFIRMED,6.76652928,2.9004,450.7,0.429,1.97,845.0,120.48,29.2
185,K00873.01,CONFIRMED,4.347288783,2.1024,451.6,0.025,2.36,1174.0,449.79,39.7
186,K00874.01,CONFIRMED,4.601811819,2.2607,755.9,0.567,2.35,896.0,152.91,60.8
187,K00874.02,CONFIRMED,11.18719905,3.252,353.6,0.387,1.55,667.0,46.65,21.9
188,K00875.01,CONFIRMED,4.220965778,3.0854,2260.0,0.705,2.62,595.0,29.68,157.8
189,K00876.01,FALSE POSITIVE,6.998099523,2.0488,20285.0,7.361,588.66,853.0,125.22,192.3
190,K00877.01,CONFIRMED,5.95489993,2.3892,1410.7,0.327,2.33,635.0,38.52,87.2
191,K00877.02,CONFIRMED,12.03987488,2.7363,1250.6,0.286,2.18,502.0,15.06,57.6
192,K00877.03,CONFIRMED,20.83762895,2.3734,439.0,0.706,1.42,418.0,7.24,14.9
193,K00121.01,FALSE POSITIVE,8.8111022,5.0683,401.1,1.223,63.66,1399.0,904.92,76.8
194,K00878.01,CONFIRMED,23.58917143,5.073,1200.7,0.926,3.16,487.0,13.34,53.3
195,K00123.01,CONFIRMED,6.481633073,3.784,298.5,0.833,2.54,1145.0,406.25,125.6
196,K00892.01,CONFIRMED,10.37168928,3.035,1254.9,0.537,3.2,720.0,63.68,64.5
197,K00892.02,CONFIRMED,3.96996298,1.1757,299.2,0.836,1.78,992.0,229.37,15.0
198,K00893.01,CONFIRMED,4.40841331,5.012,549.4,0.899,2.66,1139.0,398.0,45.1
199,K00894.01,FALSE POSITIVE,7.9426176,6.703,1590.7,0.942,4.68,878.0,140.57,60.4
200,K00881.02,CONFIRMED,226.8904775,7.558,3136.4,0.731,4.53,236.0,0.73,46.8
201,K00882.01,FALSE POSITIVE,1.956811408,2.1958,24905.0,1.091,21.58,1109.0,357.16,125.4
202,K00884.01,CONFIRMED,9.439459486,2.8979,3036.1,0.049,4.16,686.0,52.32,175.2
203,K00122.01,CONFIRMED,11.523067458,3.8757,507.3,0.0,3.13,927.0,174.81,142.0
204,K00884.02,CONFIRMED,20.47748843,2.8364,1382.4,0.497,2.92,530.0,18.65,52.7
205,K00884.03,CONFIRMED,3.336123113,1.9616,516.3,0.252,1.74,970.0,209.79,41.6
206,K00886.01,CONFIRMED,8.01078456,2.312,1333.6,0.192,1.72,453.0,9.9,48.5
207,K00886.02,CONFIRMED,12.07134205,4.3224,759.2,0.014,1.29,395.0,5.74,31.0
208,K00886.03,CONFIRMED,20.99587872,2.6333,767.3,0.228,1.3,328.0,2.74,18.2
209,K00887.01,CONFIRMED,7.41113177,2.5242,620.5,0.712,2.45,905.0,158.11,50.4
210,K00888.01,FALSE POSITIVE,1.000747038,0.9967,1823.5,0.908,4.14,1620.0,1635.2,147.4
211,K00889.01,CONFIRMED,8.884922995,2.07004,16053.4,0.069,10.51,770.0,83.21,388.2
212,K00890.01,CONFIRMED,8.09888906,4.20241,6911.1,0.018,8.95,986.0,223.19,435.9
213,K00891.01,CONFIRMED,10.00653012,5.344,936.1,0.862,3.52,876.0,139.21,71.9
214,K00012.01,CONFIRMED,17.855221681,7.41287,9065.2,0.075,13.16,911.0,163.04,915.7
215,K00903.01,CONFIRMED,5.007316661,4.2362,6932.3,0.344,6.96,998.0,234.28,431.4
216,K00904.01,CONFIRMED,2.211116989,1.6485,724.2,0.69,1.85,931.0,177.19,42.6
217,K00904.02,CONFIRMED,27.9541337,3.95,942.5,0.063,1.9,400.0,6.04,25.4
218,K00124.01,CONFIRMED,12.69104387,3.7727,252.1,0.008,2.57,1008.0,244.3,60.2
219,K00895.01,FALSE POSITIVE,4.409409243,3.8636,12861.0,0.028,10.95,1101.0,347.06,85.8
220,K00896.01,CONFIRMED,16.23947096,4.0374,2590.7,0.043,4.14,598.0,30.14,123.8
221,K00896.02,CONFIRMED,6.308201629,2.9785,1328.5,0.03,2.96,819.0,106.44,86.2
222,K00897.01,CONFIRMED,2.052349884,2.0778,14280.6,0.437,13.12,1497.0,1183.18,1072.1
223,K00898.01,CONFIRMED,9.7704486,2.4517,1897.8,0.09,2.23,460.0,10.59,58.0
224,K00898.02,CONFIRMED,5.169804269,2.153,1037.4,0.351,1.66,569.0,24.75,41.4
225,K00123.02,CONFIRMED,21.22261195,6.5093,366.0,0.02,2.48,771.0,83.56,114.9
226,K00898.03,CONFIRMED,20.09017037,4.154,1432.1,0.886,2.25,362.0,4.05,36.9
227,K00899.01,CONFIRMED,7.11373257,2.1764,807.6,0.334,1.16,429.0,8.01,44.4
228,K00899.02,CONFIRMED,3.306551643,1.8177,509.2,0.001,0.91,554.0,22.19,37.8
229,K00899.03,CONFIRMED,15.36845737,2.4714,756.1,0.115,1.11,332.0,2.86,30.9
230,K00900.01,CONFIRMED,13.81020318,3.048,1309.7,0.791,4.56,833.0,113.75,46.2
231,K00911.01,CONFIRMED,4.093578461,2.5833,538.6,0.93,2.85,1182.0,461.07,36.4
232,K00911.02,CONFIRMED,105.145959,8.593,685.4,0.964,3.43,401.0,6.09,15.4
233,K00912.01,CONFIRMED,10.8484518,2.9993,1675.6,0.21,2.34,499.0,14.66,64.5
234,K00912.02,CONFIRMED,6.66833241,1.915,362.3,0.644,1.18,587.0,28.06,14.2
235,K00913.01,CONFIRMED,4.082274889,3.23015,17859.2,0.093,10.55,1016.0,251.48,1669.1
236,K00904.03,CONFIRMED,42.1406089,5.083,895.5,0.045,1.85,349.0,3.49,21.6
237,K00904.04,CONFIRMED,4.617490562,2.2618,575.8,0.649,1.62,728.0,66.47,28.1
238,K00904.05,CONFIRMED,10.19849255,2.4283,634.1,0.714,1.75,559.0,23.11,21.4
239,K00905.01,FALSE POSITIVE,5.795063956,3.2496,1692.9,0.949,4.33,950.0,192.74,119.4
240,K00906.01,CONFIRMED,7.15681552,2.5882,867.0,0.45,2.47,782.0,88.23,47.7
241,K00906.02,CONFIRMED,17.64830851,2.0873,763.3,0.653,2.43,579.0,26.49,23.8
242,K00906.03,CONFIRMED,4.14810719,2.535,175.2,0.093,1.08,938.0,182.76,12.9
243,K00907.01,CONFIRMED,16.51410989,4.1575,973.5,0.395,2.72,655.0,43.57,55.9
244,K00907.02,CONFIRMED,30.1329298,5.172,1015.8,0.839,3.14,536.0,19.55,44.8
245,K00907.03,CONFIRMED,4.79090809,2.603,251.3,0.11,1.36,990.0,227.24,21.2
246,K00124.02,CONFIRMED,31.71981013,4.819,363.4,0.125,3.09,743.0,71.97,63.1
247,K00907.04,CONFIRMED,99.6415962,4.448,952.5,0.028,2.64,360.0,3.97,22.7
248,K00908.01,CONFIRMED,4.708326451,3.16114,7912.7,0.061,10.6,1162.0,431.02,633.4
249,K00909.01,FALSE POSITIVE,16.37198661,3.8449,4147.6,9.303,540.37,438.0,8.71,54.5
250,K00910.01,CONFIRMED,5.392026903,2.9804,1151.4,0.314,2.68,850.0,123.33,77.4
251,K00929.01,CONFIRMED,6.491682808,4.301,7163.3,0.535,9.66,1062.0,301.54,502.3
252,K00930.01,FALSE POSITIVE,3.044770796,10.0134,1695.0,1.252,24.54,1076.0,317.36,203.5
253,K00931.01,CONFIRMED,3.855603916,3.2179,16652.7,0.348,13.61,1212.0,508.65,1173.9
254,K00932.01,FALSE POSITIVE,3.855599139,3.183,1030.9,0.864,3.57,1158.0,425.74,90.1
255,K00125.01,CONFIRMED,38.47876629,5.04169,23530.0,0.003,13.26,484.0,13.01,1077.8
256,K00915.01,FALSE POSITIVE,37.601661282,8.30604,59130.1,0.408,27.22,606.0,31.86,1667.3
257,K00916.01,CONFIRMED,3.314947362,1.8007,1398.2,0.799,3.94,1155.0,421.03,123.5
258,K00917.01,FALSE POSITIVE,6.71969089,3.0231,969.7,0.985,4.37,952.0,194.18,45.4
259,K00918.01,CONFIRMED,39.6431552,6.5292,15663.8,0.062,10.98,472.0,11.74,690.3
260,K00919.01,FALSE POSITIVE,51.42598578,16.9422,66067.7,0.203,29.66,549.0,21.4,1843.8
261,K00920.01,CONFIRMED,21.80451611,3.4097,1144.9,0.751,2.6,543.0,20.48,49.9
262,K00921.01,CONFIRMED,10.28194593,3.4366,1110.7,0.168,2.53,680.0,50.6,55.0
263,K00921.02,CONFIRMED,18.11993039,4.2309,1506.9,0.206,2.95,563.0,23.77,60.7
264,K00921.03,CONFIRMED,3.78402867,1.9012,426.1,0.691,1.7,949.0,191.78,25.6
265,K00922.01,CONFIRMED,5.15448142,3.228,697.5,0.933,2.94,964.0,204.1,48.1
